"Age","Sex","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"44","Females","390625","394841","416218","430326","443897","451975","469596","500571","495552","498202","494596","492747","496315","482280","486396","478948","474308","476041"
"44","Total","778115","787084","829074","854196","882452","898742","933550","997542","986600","990052","978769","976785","984531","957607","964234","953322","942507","948308"
"45","Males","383939","388256","394084","414488","424416","438494","448265","464929","497244","491111","491314","485085","484426","487372","474512","477057","473559","468310"
"45","Females","389134","391550","399170","419149","431069","444451","455810","472798","503045","498246","499410","496062","493857","496417","481890","485881","478447","474216"
"45","Total","773073","779806","793254","833637","855485","882945","904075","937727","1000289","989357","990724","981147","978283","983789","956402","962938","952006","942526"
"46","Males","378601","384351","390153","395662","414955","424553","439688","448893","464886","497280","490521","491914","485241","483508","486455","473526","476223","473273"
"46","Females","385440","389609","395790","402090","420317","431844","448052","458766","474752","505896","499519","500496","497040","493744","496009","481415","485328","478371"
"46","Total","764041","773960","785943","797752","835272","856397","887740","907659","939638","1003176","990040","992410","982281","977252","982464","954941","961551","951644"
"47","Males","373714","378853","385739","391635","395992","414912","425787","440118","448706","464579","496739","490987","491658","484199","482453","485398","472493","475915"
"47","Females","382686","385681","393117","398808","403259","421228","435261","450822","460538","477191","507206","500493","500972","496971","493334","495362","480790","484958"
"47","Total","756400","764534","778856","790443","799251","836140","861048","890940","909244","941770","1003945","991480","992630","981170","975787","980760","953283","960873"
"48","Males","360223","373916","379828","386663","392042","396063","416045","426319","439708","448104","463790","496794","490621","490430","483006","481428","484335","471964"
"48","Females","366465","382940","388804","395331","399928","404105","424935","438019","452596","462956","478411","508165","500749","500680","496528","492690","494802","480428"
"48","Total","726688","756856","768632","781994","791970","800168","840980","864338","892304","911060","942201","1004959","991370","991110","979534","974118","979137","952392"
"49","Males","357894","360227","374653","380393","386670","392193","396829","416395","425889","438935","447093","463707","496284","489330","489062","481861","480303","483524"
"49","Females","367808","366647","385857","390794","396119","400913","407729","427813","439569","454693","464036","479248","508508","500229","500049","495995","492006","494321"
"49","Total","725702","726874","760510","771187","782789","793106","804558","844208","865458","893628","911129","942955","1004792","989559","989111","977856","972309","977845"
"50","Males","358245","357512","360668","375107","380353","386436","392965","397045","415954","425185","438002","446959","463119","494798","487896","487824","480580","479538"
"50","Females","370295","367501","369278","387726","391288","396592","404287","410535","429559","441620","455521","464796","479485","507939","499459","499262","495334","491414"
"50","Total","728540","725013","729946","762833","771641","783028","797252","807580","845513","866805","893523","911755","942604","1002737","987355","987086","975914","970952"
"51","Males","373760","357837","357415","360983","374862","380016","386760","393165","396499","415185","424271","437670","446108","461668","493112","486370","486478","479659"
"51","Females","386595","369751","369567","370766","388098","391722","399249","407180","412359","431636","442372","456235","464957","479116","506986","498679","498410","494767"
"51","Total","760355","727588","726982","731749","762960","771738","786009","800345","808858","846821","866643","893905","911065","940784","1000098","985049","984888","974426"
"52","Males","376649","373104","357542","357060","360499","374289","380077","386619","392751","395693","414236","423741","436677","444572","459958","491565","484758","485399"
"52","Females","386417","386000","371308","370502","370966","388358","394014","401415","409143","414395","432383","443104","456328","464282","478271","506056","497597","497603"
"52","Total","763066","759104","728850","727562","731465","762647","774091","788034","801894","810088","846619","866845","893005","908854","938229","997621","982355","983002"
"53","Males","394008","375899","372660","356991","356134","359774","374124","379743","385779","392077","394705","413569","422531","435068","442921","458371","489902","483386"
"53","Females","405554","386387","387108","372136","370252","371017","390083","395775","402734","411259","415177","432864","443089","455881","463407","477327","504982","496845"
"53","Total","799562","762286","759768","729127","726386","730791","764207","775518","788513","803336","809882","846433","865620","890949","906328","935698","994884","980231"
"54","Males","386053","393241","375286","371915","356039","355056","359231","373443","378780","384671","391094","393806","412256","420784","433153","441100","456695","488422"
"54","Females","397265","405584","387904","387512","371719","369884","372385","391588","396767","404190","411933","415553","432943","442327","454903","462369","476246","503941"
"54","Total","783318","798825","763190","759427","727758","724940","731616","765031","775547","788861","803027","809359","845199","863111","888056","903469","932941","992363"
"55","Males","387731","385362","392493","374437","370733","354803","354195","358474","372378","377585","383438","389887","392437","410440","418786","431260","439536","455137"
"55","Females","402793","397342","406848","388683","386857","371149","370517","373597","392427","397845","404472","412280","415471","432129","441306","453861","461194","475227"
"55","Total","790524","782704","799341","763120","757590","725952","724712","732071","764805","775430","787910","802167","807908","842569","860092","885121","900730","930364"
