"Age","Sex","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"58","Females","350930","352238","355586","343314","353006","374960","380840","384224","345453","338588"
"58","Total","678272","680015","687410","662454","684286","728057","740503","743615","668649","655825"
"59","Males","318177","323723","324340","328488","315957","327813","349718","356353","356064","320286"
"59","Females","347324","349182","350612","353959","341745","351081","373098","379313","382874","344323"
"59","Total","665501","672905","674952","682447","657702","678894","722816","735666","738938","664609"
"60","Males","322312","314117","319916","320619","324896","312463","324165","346073","352712","352667"
"60","Females","352597","345365","347331","348850","352244","339956","349122","371198","377676","381448"
"60","Total","674909","659482","667247","669469","677140","652419","673287","717271","730388","734115"
"61","Males","334986","317828","309956","315828","316595","321145","308725","320283","342149","349141"
"61","Females","371119","350666","343318","345458","346976","350506","338131","347117","369189","375866"
"61","Total","706105","668494","653274","661286","663571","671651","646856","667400","711338","725007"
"62","Males","306320","329734","313259","305651","311392","312257","316964","304789","316212","337992"
"62","Females","342425","368812","348588","341265","343283","344913","348639","336214","344913","367117"
"62","Total","648745","698546","661847","646916","654675","657170","665603","641003","661125","705109"
"63","Males","303503","301153","324294","308345","301121","306888","307796","312730","300794","311982"
"63","Females","342544","340090","366314","346345","339085","341093","342637","346509","334197","342553"
"63","Total","646047","641243","690608","654690","640206","647981","650433","659239","634991","654535"
"64","Males","299140","297796","295731","318561","303253","296355","301981","303010","308164","296627"
"64","Females","342915","339840","337483","363580","344120","336687","338599","340284","344395","332067"
"64","Total","642055","637636","633214","682141","647373","633042","640580","643294","652559","628694"
"65","Males","287871","292822","291702","289998","312544","297800","291123","296713","298080","303479"
"65","Females","338822","339849","336890","334808","360682","341658","334220","335878","337798","342045"
"65","Total","626693","632671","628592","624806","673226","639458","625343","632591","635878","645524"
"66","Males","280037","281223","286238","285431","283943","306182","292176","285665","291318","292968"
"66","Females","334400","335267","336452","333789","331742","357525","339096","331555","333086","335193"
"66","Total","614437","616490","622690","619220","615685","663707","631272","617220","624404","628161"
"67","Males","270694","272941","274188","279249","278807","277632","299589","286014","280018","285833"
"67","Females","329592","330889","331573","332799","330320","328491","354363","336229","328586","330219"
"67","Total","600286","603830","605761","612048","609127","606123","653952","622243","608604","616052"
"68","Males","263226","263103","265655","266967","271928","271792","271074","292442","279655","274094"
"68","Females","328548","325594","326999","327665","328804","326676","325012","350762","333154","325469"
"68","Total","591774","588697","592654","594632","600732","598468","596086","643204","612809","599563"
"69","Males","248290","255431","255363","257966","259382","264284","264421","264114","285049","273185"
"69","Females","325570","324351","321260","322878","323363","324563","322770","321401","346965","329922"
"69","Total","573860","579782","576623","580844","582745","588847","587191","585515","632014","603107"
"70","Males","238211","240364","247474","247336","249973","251398","256327","256394","256989","277736"
"70","Females","316849","320572","319632","316545","318489","318693","319877","318466","317555","342918"
"70","Total","555060","560936","567106","563881","568462","570091","576204","574860","574544","620654"
"71","Males","231277","230003","232218","239160","238906","241595","242953","247864","248339","249778"
