"Event year","Territory","1st order fertility rate","2nd order fertility rate","3rd order and more fertility rate","Total fertility rate","Notes"
"2005","Lazio","069","046","013","128",""
"2005","Abruzzo","062","046","014","122",""
"2005","Molise","056","042","017","115",""
"2005","Campania","063","056","025","145",""
"2005","Puglia","059","051","019","129",""
"2005","Basilicata","055","046","015","116",""
"2005","Calabria","057","047","022","126",""
"2005","Sicilia","063","055","025","143",""
"2005","Sardegna","058","037","011","106",""
"2005","Italia","068","049","017","133",""
"2006","Piemonte","073","046","013","132",""
"2006","Valle d'Aosta/Vallée d'Aoste","079","051","015","144",""
"2006","Liguria","072","042","011","124",""
"2006","Lombardia","076","050","016","143",""
"2006","Trentino-Alto Adige/Südtirol","069","058","028","154",""
"2006","Provincia Autonoma di Bolzano","064","059","035","158",""
"2006","Provincia Autonoma di Trento","073","057","022","151",""
"2006","Veneto","074","051","016","140",""
"2006","Friuli-Venezia Giulia","071","046","012","129",""
"2006","Emilia-Romagna","077","048","015","140",""
"2006","Toscana","073","045","013","130",""
"2006","Umbria","075","047","014","136",""
"2006","Marche","071","047","014","132",""
"2006","Lazio","073","048","014","134",""
"2006","Abruzzo","062","046","015","122",""
"2006","Molise","054","043","017","114",""
"2006","Campania","063","057","025","146",""
"2006","Puglia","058","051","019","128",""
"2006","Basilicata","056","047","017","120",""
"2006","Calabria","058","050","021","129",""
"2006","Sicilia","064","054","024","142",""
"2006","Sardegna","056","039","013","108",""
"2006","Italia","070","050","017","137",""
"2007","Piemonte","075","048","014","137",""
"2007","Valle d'Aosta/Vallée d'Aoste","081","050","016","147",""
"2007","Liguria","074","043","011","128",""
"2007","Lombardia","078","052","017","147",""
"2007","Trentino-Alto Adige/Südtirol","073","057","028","157",""
"2007","Provincia Autonoma di Bolzano","070","058","034","162",""
"2007","Provincia Autonoma di Trento","076","056","021","152",""
"2007","Veneto","075","052","017","144",""
"2007","Friuli-Venezia Giulia","075","046","013","135",""
"2007","Emilia-Romagna","079","050","016","145",""
"2007","Toscana","075","046","014","134",""
"2007","Umbria","076","050","015","140",""
"2007","Marche","070","051","015","136",""
"2007","Lazio","072","049","014","135",""
"2007","Abruzzo","066","047","014","127",""
"2007","Molise","061","043","014","118",""
"2007","Campania","063","058","025","147",""
"2007","Puglia","060","052","019","131",""
"2007","Basilicata","057","047","015","120",""
"2007","Calabria","060","048","021","129",""
"2007","Sicilia","063","055","023","141",""
"2007","Sardegna","057","041","013","111",""
"2007","Italia","071","051","017","139",""
"2008","Piemonte","077","049","014","141",""
"2008","Valle d'Aosta/Vallée d'Aoste","084","058","015","157",""
"2008","Liguria","078","045","012","135",""
"2008","Lombardia","081","054","018","153",""
"2008","Trentino-Alto Adige/Südtirol","073","060","029","161",""
"2008","Provincia Autonoma di Bolzano","067","060","034","161",""
"2008","Provincia Autonoma di Trento","078","059","023","160",""
"2008","Veneto","077","054","018","149",""
"2008","Friuli-Venezia Giulia","075","048","014","136",""
"2008","Emilia-Romagna","081","052","017","150",""
"2008","Toscana","078","049","014","141",""
"2008","Umbria","079","050","015","144",""
"2008","Marche","073","052","017","142",""
"2008","Lazio","079","052","015","146",""
"2008","Abruzzo","067","048","015","131",""
"2008","Molise","060","045","014","119",""
"2008","Campania","065","057","024","146",""
"2008","Puglia","062","053","019","133",""
"2008","Basilicata","058","047","017","123",""
"2008","Calabria","060","049","020","129",""
"2008","Sicilia","065","056","023","144",""
"2008","Sardegna","058","042","013","113",""
"2008","Italia","073","053","018","144",""
"2009","Piemonte","078","049","015","142",""
"2009","Valle d'Aosta/Vallée d'Aoste","083","060","019","162",""
"2009","Liguria","076","046","013","136",""
"2009","Lombardia","083","054","019","156",""
"2009","Trentino-Alto Adige/Südtirol","072","059","027","158",""
"2009","Provincia Autonoma di Bolzano","066","059","030","156",""
"2009","Provincia Autonoma di Trento","078","059","023","160",""
"2009","Veneto","077","053","018","148",""
"2009","Friuli-Venezia Giulia","075","048","015","138",""
"2009","Emilia-Romagna","082","052","018","152",""
"2009","Toscana","075","048","014","137",""
"2009","Umbria","074","049","015","138",""
"2009","Marche","075","051","017","143",""
"2009","Lazio","078","050","015","143",""
"2009","Abruzzo","068","047","015","129",""
"2009","Molise","058","042","013","113",""
"2009","Campania","066","056","023","145",""
"2009","Puglia","063","053","018","134",""
"2009","Basilicata","059","045","016","120",""
"2009","Calabria","065","047","020","131",""
"2009","Sicilia","066","056","023","144",""
"2009","Sardegna","062","041","012","116",""
"2009","Italia","074","052","018","144",""
"2010","Piemonte","077","050","015","142",""
"2010","Valle d'Aosta/Vallée d'Aoste","082","060","020","162",""
"2010","Liguria","075","047","013","135",""
"2010","Lombardia","080","056","020","156",""
"2010","Trentino-Alto Adige/Südtirol","075","060","028","163",""
"2010","Provincia Autonoma di Bolzano","069","061","033","162",""
